SampleID	Acidobacteria	Actinobacteria	Bacteroidetes	Chlamydiae	Chloroflexi	Cyanobacteria	Deferribacteres	Deinococcus_Thermus	Dependentiae	Epsilonbacteraeota	Euryarchaeota	Firmicutes	Fusobacteria	Lentisphaerae	Patescibacteria	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia	unclassified
1290V	0	681	0	0	0	0	0	0	0	0	0	10603	0	0	0	0	4408	0	0	0	0	0
1295A	0	458	9	0	0	0	0	0	0	0	0	23471	0	0	0	0	26	0	0	0	17	0
1295C	0	1609	124	0	0	3	0	0	0	0	0	45311	0	0	0	0	27	0	0	0	19	0
1305A	0	1132	91	0	0	184	0	0	0	0	0	35696	0	0	0	0	4	0	0	0	967	12
1305B	0	1618	85	0	0	463	0	0	0	0	0	27634	0	0	0	0	2	0	0	0	1355	9
1320T	0	440	24	0	0	0	0	0	0	0	0	23025	0	0	0	0	287	0	0	0	556	0
1329O	0	271	0	0	0	0	0	0	0	0	0	12867	0	0	0	0	6	0	0	0	0	0
133D	0	0	0	4	0	0	0	0	0	0	0	1990	0	0	0	0	0	4	0	0	0	2
134D	0	5321	18	0	0	32	0	0	0	0	0	198461	0	0	0	0	422	0	0	0	20	31
1364AA	0	1144	0	0	0	0	0	0	0	0	0	29266	0	0	0	0	27	0	0	0	2	0
1364Y	0	876	58	0	0	0	0	0	0	0	0	14260	0	0	0	0	105	0	0	0	0	0
1365C	0	252	61	0	0	0	0	0	0	0	0	12433	0	0	0	0	0	0	0	0	5	0
1370A	0	1832	5	0	0	0	0	0	0	0	0	49542	0	0	0	0	20	0	0	0	14	14
1370C	0	811	392	0	0	0	0	0	0	0	0	36165	0	0	0	0	628	0	0	0	4	7
1382A	0	1076	8	0	0	0	0	0	0	0	0	24417	0	0	0	0	0	0	0	0	4	0
1397D	0	2816	10	0	0	0	0	0	0	0	0	37154	28	0	0	0	2656	0	0	0	0	0
140A	0	380	2	0	0	13	0	0	0	0	0	4905	0	0	0	0	52	0	0	0	0	0
1411A	0	1809	7736	0	0	0	0	0	0	0	0	79810	0	0	0	0	149	0	1	0	3	33
1415B	0	5250	24	0	0	0	0	0	0	0	0	113565	0	0	0	0	34	0	0	0	3	61
1415C	0	7113	323	0	0	0	0	0	0	0	29	106083	0	0	0	0	108	0	0	0	0	0
1415D	0	4634	91	0	0	0	0	0	0	0	0	128199	0	0	0	0	32	0	0	0	0	44
1419A	0	2473	107	0	0	0	0	0	0	0	0	50771	12	0	0	0	7	0	0	0	1900	0
1419B	0	910	87	0	0	0	0	0	0	0	0	21760	2	0	0	0	0	0	0	0	3	0
1419C	0	1162	46	0	0	0	0	0	0	0	0	26905	31	0	0	0	265	0	0	0	6	217
1420D	0	4860	184	0	0	0	0	0	0	0	0	120032	0	0	0	0	318	0	0	0	0	0
1428HH	0	161	0	0	0	0	0	0	0	0	0	11589	8	0	0	0	71	0	0	0	0	52
1437K	0	9679	0	0	0	0	0	0	0	0	0	54961	0	0	0	0	651	0	0	0	0	0
